cell_id,week_index,ite,ite_lo,ite_hi,depth_zone,bathymetry,vessel_density,dvm_amplitude,is_treated,is_post_covid
CELL_017,123,-0.3498164601582157,-0.35224203954745253,-0.347390880768979,mid,514.9,10.755,-2.4489,1,1
CELL_018,123,-0.350658659426647,-0.3518063222540382,-0.3495109965992551,shallow,459.2,11.026,-2.9115,1,1
CELL_019,123,-0.3506089127999859,-0.352025561099217,-0.3491922645007548,shallow,374.7,15.403,-4.312,1,1
CELL_020,123,-0.3500392760742744,-0.3524084501300761,-0.347670102018473,mid,567.1,10.57,-2.1209,1,1
CELL_021,123,-0.3499569891359154,-0.35175041352671244,-0.3481635647451182,shallow,283.7,13.582,-3.8438,1,1
CELL_022,123,-0.3505965185387272,-0.35210070021095463,-0.3490923368664999,shallow,375.3,9.314,-1.8929,1,1
CELL_023,123,-0.3506759055795991,-0.3522334393374194,-0.349118371821779,shallow,419.8,10.27,-2.2032,1,1
CELL_024,123,-0.35081211159097286,-0.35219324543824226,-0.34943097774370335,shallow,473.6,9.608,-2.2361,1,1
CELL_025,123,-0.34929384307095657,-0.3510650901116427,-0.3475225960302702,mid,671.1,8.368,-1.7032,1,1
CELL_026,123,-0.35052516438652537,-0.3520757468783183,-0.34897458189473235,shallow,319.8,14.921,-4.1205,1,1
CELL_027,123,-0.350656993979231,-0.35541154408685877,-0.34590244387160357,mid,508.5,10.844,-2.3178,1,1
CELL_028,123,-0.3499323665609912,-0.35218945229491555,-0.3476752808270673,mid,555.4,14.832,-3.8265,1,1
CELL_029,123,-0.34996512263613594,-0.35176248166198526,-0.3481677636102866,shallow,227.9,12.871,-2.9917,1,1
CELL_030,123,-0.3497204483056882,-0.35148878403102735,-0.3479521125803493,mid,564.5,13.37,-3.8059,1,1
CELL_031,123,-0.3502105676965451,-0.35174203232517004,-0.3486791030679203,shallow,302.3,11.162,-2.6411,1,1
CELL_032,123,-0.3499207791603513,-0.35152991487258495,-0.3483116434481179,shallow,239.0,12.211,-2.8517,1,1
CELL_033,123,-0.34963077656715547,-0.35077337737282177,-0.3484881757614894,mid,769.3,9.036,-2.3331,1,1
CELL_034,123,-0.34991149889702433,-0.3513990121570298,-0.3484239856370192,mid,779.4,9.294,-1.9155,1,1
CELL_035,123,-0.3486973727050534,-0.3498027979306655,-0.3475919474794412,mid,685.0,18.525,-5.3344,1,1
CELL_036,123,-0.35060857281608665,-0.35210777322588105,-0.3491093724062918,shallow,382.8,11.929,-2.9001,1,1
CELL_037,123,-0.3499985021774929,-0.3516085331317693,-0.3483884712232168,shallow,258.6,8.916,-1.1498,1,1
CELL_038,123,-0.35000288055315015,-0.35219592011762985,-0.34780984098867024,mid,610.5,14.363,-4.0991,1,1
CELL_039,123,-0.3507555860548298,-0.3522500341054014,-0.34926113800425834,shallow,464.1,7.978,-1.662,1,1
CELL_040,123,-0.3500414102865704,-0.35191946712691846,-0.34816335344622173,shallow,273.2,17.061,-4.4129,1,1
CELL_041,123,-0.35115648029750685,-0.3532656970204868,-0.34904726357452664,shallow,497.1,15.482,-3.9267,1,1
CELL_042,123,-0.3499551840809344,-0.35175042337273243,-0.3481599447891366,shallow,220.6,16.526,-4.3547,1,1
CELL_043,123,-0.3489046844918747,-0.3499543914224704,-0.3478549775612788,mid,745.6,6.213,-1.2094,1,1
CELL_044,123,-0.3504768477359963,-0.3520902825305825,-0.3488634129414101,shallow,355.3,5.934,-0.5578,1,1
CELL_045,123,-0.35002529720558434,-0.35234965945326907,-0.34770093495789983,mid,597.5,11.567,-3.3734,1,1
CELL_046,123,-0.3505989278020547,-0.35191954620919425,-0.34927830939491517,shallow,387.0,9.36,-1.9838,1,1
CELL_047,123,-0.3498949806129821,-0.35195822418435524,-0.3478317370416089,mid,512.0,15.974,-4.2714,1,1
CELL_048,123,-0.3495584890150864,-0.3523362875683179,-0.34678069046185467,mid,528.0,14.6,-3.8161,1,1
CELL_049,123,-0.35057143941015423,-0.3519822689707075,-0.3491606098496004,shallow,310.9,13.245,-3.0059,1,1
CELL_050,123,-0.3520288443112724,-0.3572217845957795,-0.3468359040267653,deep,3706.5,5.913,-1.2682,0,1
CELL_051,123,-0.35025836355469486,-0.3516079882706143,-0.3489087388387753,deep,1566.6,6.807,-1.1352,0,1
CELL_052,123,-0.35018987400337714,-0.35168957992728583,-0.34869016807946857,mid,1263.7,5.33,-0.6093,0,1
CELL_053,123,-0.3504125698981047,-0.35176045107325166,-0.34906468872295776,deep,2366.2,0.0,1.3645,0,1
CELL_054,123,-0.3529526623979376,-0.35934491073828695,-0.34656041405758825,deep,3954.1,3.179,-0.573,0,1
CELL_055,123,-0.3503949669437486,-0.3517033912713127,-0.3490865426161845,deep,1574.6,5.34,-0.5973,0,1
CELL_056,123,-0.35033267310192984,-0.35168491843553695,-0.3489804277683225,deep,2950.8,0.148,0.8454,0,1
CELL_057,123,-0.34875502863036306,-0.3520323434054443,-0.3454777138552817,deep,3237.2,0.849,0.0971,0,1
CELL_058,123,-0.3501808458845328,-0.35192786497114614,-0.34843382679791957,deep,1560.4,8.137,-1.2069,0,1
CELL_059,123,-0.3484794762907708,-0.3523394944791944,-0.34461945810234745,deep,3130.3,5.34,-0.6641,0,1
CELL_060,123,-0.35027754469752137,-0.3519938048772694,-0.34856128451777335,deep,1976.9,1.014,0.7108,0,1
CELL_061,123,-0.3503511289777224,-0.35170907621321984,-0.34899318174222477,deep,2823.4,6.39,-1.7467,0,1
CELL_062,123,-0.35034713356054736,-0.3517019953571602,-0.34899227176393444,deep,2827.3,1.081,0.9186,0,1
CELL_063,123,-0.3503388171351592,-0.35169380555541396,-0.3489838287149043,deep,2514.5,2.209,0.1336,0,1
CELL_064,123,-0.35013120679128223,-0.35192069817367005,-0.3483417154088942,mid,1088.9,4.737,-0.5835,0,1
CELL_065,123,-0.34002440930720046,-0.34593173713761,-0.33411708147679114,deep,3473.0,2.982,-0.7487,0,1
CELL_066,123,-0.35044418326058935,-0.3520048485747632,-0.3488835179464158,deep,1826.5,6.83,-1.6874,0,1
CELL_067,123,-0.35020161110992587,-0.3516823381548418,-0.34872088406500984,mid,1396.9,3.057,0.09,0,1
CELL_068,123,-0.3501113761678169,-0.3513370069595386,-0.3488857453760953,mid,930.5,1.691,-0.1977,0,1
CELL_069,123,-0.3504656467888324,-0.35169819654736045,-0.34923309703030436,deep,2690.9,0.0,0.7964,0,1
CELL_070,123,-0.3504395123638041,-0.3516042167382159,-0.3492748079893923,deep,2968.2,3.027,-0.0461,0,1
CELL_071,123,-0.35001803376169754,-0.351399007984267,-0.3486370595391281,mid,853.1,3.391,-0.1131,0,1
CELL_072,123,-0.3504411944567807,-0.35179691558126136,-0.3490854733322998,deep,2438.7,2.017,0.532,0,1
CELL_073,123,-0.3500925743554109,-0.3514859564856973,-0.3486991922251244,deep,1524.8,4.095,-0.1483,0,1
CELL_074,123,-0.3503358213059352,-0.35186990645217,-0.34880173615970045,deep,2864.6,5.375,-0.427,0,1
CELL_075,123,-0.3501098167896577,-0.3513008009704587,-0.3489188326088568,mid,1358.0,1.491,0.8883,0,1
CELL_076,123,-0.3500864602105298,-0.3516687734279837,-0.34850414699307614,deep,3011.0,8.112,-2.172,0,1
CELL_077,123,-0.35042732636978735,-0.351545389461055,-0.34930926327851947,deep,2037.6,4.551,-0.5007,0,1
CELL_078,123,-0.3523933583660679,-0.35741260250869544,-0.34737411422344056,deep,3797.5,6.793,-1.8673,0,1
CELL_079,123,-0.3501638435478105,-0.35197078346193256,-0.34835690363368854,mid,1240.1,2.182,1.0014,0,1
CELL_080,123,-0.35045967747520484,-0.35183610595885056,-0.349083248991559,deep,1891.4,3.179,0.7591,0,1
CELL_081,123,-0.3500699754187577,-0.35149716888903687,-0.34864278194847836,mid,1163.1,5.028,-0.673,0,1
CELL_082,123,-0.35271965339253536,-0.35883283381679515,-0.34660647296827557,deep,3759.0,2.896,-0.6078,0,1
CELL_083,123,-0.3405572369316544,-0.34889519976912464,-0.33221927409418417,deep,3607.5,3.003,-0.2703,0,1
CELL_084,123,-0.35026981324147116,-0.35135175917502853,-0.3491878673079141,deep,1625.4,1.073,0.8044,0,1
CELL_085,123,-0.3504410198027952,-0.35151510255494106,-0.3493669370506493,deep,2911.9,6.836,-1.283,0,1
CELL_086,123,-0.34010714600485836,-0.3465017312053669,-0.3337125608043496,deep,3415.1,2.002,-0.2343,0,1
CELL_087,123,-0.35044344994561155,-0.3515403518443865,-0.3493465480468364,deep,2576.6,4.165,-0.4288,0,1
CELL_088,123,-0.3504258030777439,-0.3517695599716896,-0.3490820461837982,deep,2494.9,5.931,-0.5146,0,1
CELL_089,123,-0.3503109680593509,-0.35194473995399694,-0.34867719616470455,deep,1573.9,6.284,-1.3282,0,1
CELL_090,123,-0.3501563370165769,-0.35121334152214434,-0.34909933251100944,mid,1097.9,3.098,0.1573,0,1
CELL_091,123,-0.35212531334801417,-0.35953559612063496,-0.3447150305753934,deep,3671.1,6.117,-1.0696,0,1
CELL_092,123,-0.35178163182693334,-0.35769869478612043,-0.34586456886774647,deep,3681.3,4.655,-0.9941,0,1
CELL_093,123,-0.3504419521516329,-0.3518054018239875,-0.34907850247927835,deep,2825.9,5.762,-0.7617,0,1
CELL_094,123,-0.35043512172012303,-0.3516580225929666,-0.3492122208472795,deep,1884.9,3.099,0.3231,0,1
CELL_095,123,-0.3504725796834345,-0.3520321902381741,-0.34891296912869463,deep,1917.5,0.684,1.0077,0,1
CELL_096,123,-0.348940352307944,-0.35234954946333796,-0.3455311551525502,deep,3123.1,5.822,-1.1932,0,1
CELL_097,123,-0.34956411290515677,-0.35401754286958376,-0.34511068294073044,deep,3670.8,5.049,-1.0197,0,1
CELL_098,123,-0.3491402169105684,-0.35560548699731004,-0.342674946823827,deep,3638.7,4.32,-0.7266,0,1
CELL_099,123,-0.34831718013217067,-0.352536003198367,-0.3440983570659746,deep,3295.6,4.289,-0.1556,0,1
CELL_000,124,-0.3506787746589825,-0.3521349964137795,-0.34922255290418563,shallow,424.7,10.736,-2.2211,1,1
CELL_001,124,-0.3496979826857575,-0.35072374996930217,-0.348672215402213,mid,770.4,9.502,-2.2334,1,1
CELL_002,124,-0.34956565644504445,-0.35085683621635966,-0.34827447667372935,mid,639.2,7.267,-1.3451,1,1
CELL_003,124,-0.34982554690934736,-0.35182631875682907,-0.34782477506186554,mid,559.2,13.324,-3.6524,1,1
CELL_004,124,-0.3500736775589449,-0.35153348135497764,-0.3486138737629121,shallow,293.6,10.661,-2.1776,1,1
CELL_005,124,-0.3500605793404199,-0.35153723665955755,-0.34858392202128224,shallow,293.6,5.785,-0.7307,1,1
CELL_006,124,-0.35002477469315274,-0.3518133155133324,-0.3482362338729731,shallow,234.9,8.25,-1.4554,1,1
CELL_007,124,-0.34872125872085796,-0.3498299579442846,-0.3476125594974312,mid,719.7,9.659,-2.2568,1,1
CELL_008,124,-0.34972783561440024,-0.3521010078944258,-0.3473546633343747,mid,560.7,5.485,0.0157,1,1
CELL_009,124,-0.34962860904896437,-0.350970336146624,-0.34828688195130475,mid,624.8,4.337,-0.0044,1,1
CELL_010,124,-0.3499595744998522,-0.35180260553331405,-0.3481165434663907,shallow,212.4,9.937,-2.5224,1,1
CELL_011,124,-0.3500853461012069,-0.35135354202925123,-0.34881715017316234,mid,781.9,10.865,-2.9038,1,1
CELL_012,124,-0.3486497136501035,-0.3496796765976775,-0.3476197507025294,mid,699.5,9.479,-1.5519,1,1
CELL_013,124,-0.35049137106538997,-0.3521669065802054,-0.34881583555057455,shallow,327.4,9.865,-1.7852,1,1
CELL_014,124,-0.3503926074543908,-0.35172588992989434,-0.3490593249788871,shallow,309.1,14.774,-3.7937,1,1
CELL_015,124,-0.3505187824160342,-0.35183061637433033,-0.3492069484577376,shallow,310.0,5.884,-0.372,1,1
CELL_016,124,-0.35057187305874515,-0.3520556205967711,-0.3490881255207191,shallow,382.5,8.209,-1.1887,1,1
CELL_017,124,-0.3497924313457819,-0.35210292108382857,-0.3474819416077354,mid,514.9,16.241,-4.2289,1,1
CELL_018,124,-0.35071442724559754,-0.35224303680257874,-0.34918581768861623,shallow,459.2,14.076,-2.8969,1,1
CELL_019,124,-0.35061654077001464,-0.35201164797679146,-0.3492214335632385,shallow,374.7,13.028,-3.5414,1,1
CELL_020,124,-0.35006980230608775,-0.352447689461476,-0.34769191515069986,mid,567.1,10.652,-2.4607,1,1
CELL_021,124,-0.3499660149952107,-0.351649131731952,-0.3482828982584696,shallow,283.7,10.033,-2.3476,1,1
CELL_022,124,-0.3506686936351829,-0.35229711021054333,-0.3490402770598221,shallow,375.3,10.076,-2.0881,1,1
CELL_023,124,-0.35069802335015754,-0.35224341619072636,-0.3491526305095886,shallow,419.8,7.511,-1.2981,1,1
CELL_024,124,-0.3508080193136028,-0.3524084416003639,-0.3492075970268418,shallow,473.6,9.621,-1.8292,1,1
CELL_025,124,-0.349207815954289,-0.35027532613881845,-0.34814030576975935,mid,671.1,5.96,-0.7112,1,1
CELL_026,124,-0.3505148898466925,-0.35207984267362075,-0.34894993701976423,shallow,319.8,10.954,-2.4849,1,1
CELL_027,124,-0.3506317782799791,-0.35541542177579233,-0.3458481347841659,mid,508.5,9.927,-2.0109,1,1
CELL_028,124,-0.3498349911471545,-0.35202862620477504,-0.3476413560895343,mid,555.4,16.736,-4.1611,1,1
CELL_029,124,-0.3499849489570857,-0.3517016002270254,-0.3482682976871458,shallow,227.9,11.589,-3.2355,1,1
CELL_030,124,-0.3497628896403198,-0.3515330387903009,-0.34799274049033896,mid,564.5,11.868,-2.4703,1,1
CELL_031,124,-0.3501887111495545,-0.3516319718801801,-0.34874545041892885,shallow,302.3,7.176,-0.9734,1,1
CELL_032,124,-0.35001944461185963,-0.35177225806516416,-0.348266631158555,shallow,239.0,14.778,-4.0867,1,1
CELL_033,124,-0.349681015299356,-0.350763593654386,-0.3485984369443262,mid,769.3,10.812,-2.3661,1,1
CELL_034,124,-0.34996689711232254,-0.351627672376203,-0.3483061218484425,mid,779.4,8.861,-1.944,1,1
CELL_035,124,-0.34857681045330036,-0.3501718320178733,-0.34698178888872744,mid,685.0,13.483,-3.8595,1,1
CELL_036,124,-0.35059194752491923,-0.35203935244770024,-0.3491445426021379,shallow,382.8,5.634,-0.5056,1,1
CELL_037,124,-0.34999209773196344,-0.351492318339297,-0.34849187712462965,shallow,258.6,8.428,-1.7385,1,1
CELL_038,124,-0.3497125269252696,-0.35131688935482497,-0.34810816449571436,mid,610.5,11.047,-2.1536,1,1
CELL_039,124,-0.35073552647833184,-0.3522850649483854,-0.3491859880082784,shallow,464.1,10.752,-2.5889,1,1
CELL_040,124,-0.3499569206362807,-0.35167267924326545,-0.34824116202929595,shallow,273.2,18.601,-4.9418,1,1
CELL_041,124,-0.3512295811659509,-0.3537592911050556,-0.3486998712268458,shallow,497.1,16.966,-4.719,1,1
CELL_042,124,-0.34988236802709244,-0.351417582846814,-0.348347153207371,shallow,220.6,13.886,-3.7349,1,1
CELL_043,124,-0.3488789055617773,-0.35035032027181895,-0.347407490851736,mid,745.6,12.419,-3.3338,1,1
CELL_044,124,-0.35046010304162584,-0.3519268068736613,-0.3489933992095904,shallow,355.3,6.556,-0.8654,1,1
CELL_045,124,-0.3499067465736712,-0.3519238158932384,-0.347889677254104,mid,597.5,14.64,-3.4264,1,1
CELL_046,124,-0.35059716269391505,-0.35200532220792413,-0.3491890031799062,shallow,387.0,11.0,-2.6362,1,1
CELL_047,124,-0.3498832697393536,-0.3519905444547432,-0.34777599502396406,mid,512.0,12.373,-3.1646,1,1
CELL_048,124,-0.3498211181153984,-0.35224106033576863,-0.3474011758950286,mid,528.0,18.895,-5.5455,1,1
CELL_049,124,-0.35059772556840585,-0.3523613033355845,-0.34883414780122707,shallow,310.9,17.447,-4.414,1,1
CELL_050,124,-0.35204266223506114,-0.3573621790879692,-0.3467231453821531,deep,3706.5,4.422,-0.9341,0,1
CELL_051,124,-0.35049186138309263,-0.3515636764874901,-0.3494200462786947,deep,1566.6,4.56,-0.6118,0,1
CELL_052,124,-0.3501560820975771,-0.3517166709833275,-0.3485954932118266,mid,1263.7,1.302,0.8091,0,1
CELL_053,124,-0.35036767941461094,-0.35153196802934206,-0.3492033907998796,deep,2366.2,3.21,-0.1731,0,1
CELL_054,124,-0.35347286152505586,-0.3603749770462739,-0.346570746003838,deep,3954.1,0.0,0.9987,0,1
CELL_055,124,-0.3505420239764153,-0.3516090735656504,-0.3494749743871802,deep,1574.6,3.153,-0.1296,0,1
CELL_056,124,-0.3502770181445563,-0.3516808882413351,-0.3488731480477772,deep,2950.8,0.425,0.4908,0,1
CELL_057,124,-0.3484659433075919,-0.3523468477482258,-0.344585038866958,deep,3237.2,7.254,-1.3062,0,1
CELL_058,124,-0.3501188224952178,-0.35153459213267335,-0.34870305285776204,deep,1560.4,8.862,-1.4504,0,1
CELL_059,124,-0.34847444340464895,-0.35246279457709545,-0.34448609223220233,deep,3130.3,5.161,-0.4044,0,1
CELL_060,124,-0.35043452909411554,-0.35180307840681885,-0.349065979781412,deep,1976.9,3.95,-0.2652,0,1
CELL_061,124,-0.35045650695068165,-0.3517631918136753,-0.34914982208768797,deep,2823.4,1.071,0.0638,0,1
CELL_062,124,-0.3503379528234272,-0.35142118497510566,-0.3492547206717489,deep,2827.3,5.244,-0.976,0,1
CELL_063,124,-0.3504432259004045,-0.35180229666005586,-0.34908415514075336,deep,2514.5,3.342,-0.1188,0,1
CELL_064,124,-0.35010550621425,-0.3512670447915458,-0.348943967636954,mid,1088.9,6.676,-0.8344,0,1
CELL_065,124,-0.34072282167390733,-0.34715578906691996,-0.3342898542808946,deep,3473.0,3.062,-0.5382,0,1
CELL_066,124,-0.35041019089619474,-0.35183299433177917,-0.34898738746061075,deep,1826.5,4.409,-0.3049,0,1
CELL_067,124,-0.35018352309660133,-0.35198041170822936,-0.34838663448497365,mid,1396.9,3.868,-0.234,0,1
CELL_068,124,-0.35016684486806954,-0.35173593887121046,-0.3485977508649284,mid,930.5,1.725,0.3482,0,1
CELL_069,124,-0.35044344994561155,-0.3515403518443865,-0.3493465480468364,deep,2690.9,2.694,-0.0515,0,1
CELL_070,124,-0.35030847368907075,-0.3512532446748618,-0.3493637027032797,deep,2968.2,0.706,0.4101,0,1
CELL_071,124,-0.35010614151013986,-0.35131725590587465,-0.34889502711440473,mid,853.1,1.987,0.5209,0,1
CELL_072,124,-0.35045332038538174,-0.35168186280830577,-0.3492247779624575,deep,2438.7,2.266,0.3725,0,1
CELL_073,124,-0.3501971884587884,-0.35193274651100037,-0.3484616304065763,deep,1524.8,4.114,0.2483,0,1
CELL_074,124,-0.3504532097416331,-0.35182395962537444,-0.34908245985789194,deep,2864.6,1.365,0.725,0,1
CELL_075,124,-0.3501098167896577,-0.3513008009704587,-0.3489188326088568,mid,1358.0,0.469,1.0007,0,1
CELL_076,124,-0.35015001968406,-0.35189424944421155,-0.34840578992390847,deep,3011.0,3.748,-0.4931,0,1
CELL_077,124,-0.350451352783257,-0.3517207679606366,-0.3491819376058772,deep,2037.6,0.0,0.7583,0,1
CELL_078,124,-0.35295565850972666,-0.3583670000752518,-0.3475443169442015,deep,3797.5,3.202,-0.8898,0,1
CELL_079,124,-0.35013078167427625,-0.35182072934415426,-0.34844083400439846,mid,1240.1,3.156,0.3998,0,1
CELL_080,124,-0.3504417005637607,-0.3515922109289484,-0.3492911901985723,deep,1891.4,2.026,0.4712,0,1
CELL_081,124,-0.3501659991048512,-0.35178755973537446,-0.34854443847432803,mid,1163.1,2.393,-0.1329,0,1
CELL_082,124,-0.3524801518646458,-0.36065233296302496,-0.34430797076626646,deep,3759.0,6.103,-1.5329,0,1
CELL_083,124,-0.33999875207784497,-0.34746470489520165,-0.3325327992604884,deep,3607.5,5.061,-0.7859,0,1
CELL_084,124,-0.3504071686927044,-0.35178251093366214,-0.34903182645174674,deep,1625.4,5.07,-0.376,0,1
CELL_085,124,-0.35058773721572334,-0.3515863984069517,-0.34958907602449485,deep,2911.9,8.758,-1.9583,0,1
CELL_086,124,-0.33869908194119985,-0.3463076424450451,-0.3310905214373546,deep,3415.1,3.43,-0.6626,0,1
CELL_087,124,-0.35039124643860664,-0.35129781888378864,-0.34948467399342464,deep,2576.6,0.97,0.3127,0,1
CELL_088,124,-0.35044256289951403,-0.3515375058948601,-0.34934761990416785,deep,2494.9,3.957,0.0022,0,1
CELL_089,124,-0.3504437718212407,-0.3517045012200012,-0.3491830424224802,deep,1573.9,3.14,0.0028,0,1
CELL_090,124,-0.3502504992639155,-0.3517834369003047,-0.34871756162752615,mid,1097.9,1.438,0.8252,0,1
CELL_091,124,-0.3522359240096977,-0.35936211325630596,-0.34510973476308937,deep,3671.1,4.291,-0.7206,0,1
CELL_092,124,-0.3518368323619087,-0.357964129451375,-0.3457095352724424,deep,3681.3,7.466,-1.8552,0,1
CELL_093,124,-0.3503600196047708,-0.3517429125429452,-0.3489771266665964,deep,2825.9,6.217,-1.2813,0,1
CELL_094,124,-0.35041804823128336,-0.3517266612586818,-0.34910943520388493,deep,1884.9,3.078,0.0487,0,1
CELL_095,124,-0.3505376245776862,-0.3516036777954619,-0.3494715713599105,deep,1917.5,7.568,-1.4437,0,1
CELL_096,124,-0.3488395597905638,-0.35218794908595713,-0.3454911704951706,deep,3123.1,5.595,-1.2566,0,1
CELL_097,124,-0.3482183762422659,-0.35285288981266627,-0.3435838626718656,deep,3670.8,4.445,-1.1536,0,1
CELL_098,124,-0.3488149955719143,-0.35507362052802,-0.3425563706158083,deep,3638.7,5.22,-1.154,0,1
CELL_099,124,-0.3482592879928382,-0.35294037742358864,-0.3435781985620878,deep,3295.6,0.0,1.241,0,1
CELL_000,125,-0.35070124949498543,-0.35231280101333323,-0.3490896979766372,shallow,424.7,11.117,-2.1551,1,1
CELL_001,125,-0.34971203281674423,-0.3509541681472919,-0.3484698974861962,mid,770.4,5.747,-0.1925,1,1
CELL_002,125,-0.3496809287485936,-0.35138714678786015,-0.3479747107093271,mid,639.2,8.527,-1.5163,1,1
CELL_003,125,-0.34985186867324874,-0.3519666465044264,-0.3477370908420712,mid,559.2,14.032,-3.8133,1,1
CELL_004,125,-0.35002838010369863,-0.3513547307067702,-0.3487020295006274,shallow,293.6,10.336,-2.2071,1,1
CELL_005,125,-0.350063556045194,-0.35155570110753204,-0.3485714109828559,shallow,293.6,4.416,0.0667,1,1
CELL_006,125,-0.34999822897900307,-0.3516962172072381,-0.34830024075076804,shallow,234.9,6.913,-0.8781,1,1
CELL_007,125,-0.3487326824950608,-0.3498689266952856,-0.3475964382948359,mid,719.7,11.821,-2.8027,1,1
CELL_008,125,-0.34970093817339065,-0.35197507545993373,-0.3474268008868476,mid,560.7,7.604,-1.1771,1,1
CELL_009,125,-0.34963714856449124,-0.3509832787032293,-0.34829101842575283,mid,624.8,6.583,-0.6412,1,1
CELL_010,125,-0.3499851247896701,-0.3518593209493821,-0.34811092862995807,shallow,212.4,12.155,-3.1504,1,1
CELL_011,125,-0.3501073264438562,-0.3513150296615535,-0.348899623226159,mid,781.9,11.746,-2.9859,1,1
CELL_012,125,-0.34874246225240657,-0.3498937808555306,-0.34759114364928245,mid,699.5,13.706,-3.5204,1,1
CELL_013,125,-0.35051105807057453,-0.35217335765725316,-0.3488487584838958,shallow,327.4,3.617,0.2952,1,1
CELL_014,125,-0.35037599462368374,-0.3515511897829975,-0.3492007994643699,shallow,309.1,16.737,-4.4155,1,1
CELL_015,125,-0.35048833835290516,-0.3517191979856778,-0.3492574787201322,shallow,310.0,5.977,-0.8282,1,1
CELL_016,125,-0.35062615107189277,-0.3522436772961948,-0.34900862484759093,shallow,382.5,9.691,-1.9046,1,1
CELL_017,125,-0.3497205726471441,-0.3519549582449835,-0.34748618704930473,mid,514.9,13.374,-3.2642,1,1
CELL_018,125,-0.35070256327070964,-0.35215060108005003,-0.3492545254613695,shallow,459.2,9.285,-1.8054,1,1
CELL_019,125,-0.3506478190053586,-0.35210652109676055,-0.3491891169139564,shallow,374.7,14.895,-3.9452,1,1
CELL_020,125,-0.3497617203474195,-0.3516168634277207,-0.34790657726711827,mid,567.1,14.772,-3.4407,1,1
