cell_id,ite,ite_lo,ite_hi,depth_zone,bathymetry,vessel_density,dvm_amplitude,is_treated,is_post_covid
LAT52.9_LON2.9,-0.3437798908153595,-0.3524346738744213,-0.33512510775629756,shallow,95,0.3961138738169868,1.899775160581339,1,0
LAT50.1_LON-3.5,-0.34411749156343696,-0.3507521843900012,-0.3374827987368729,shallow,60,0.7166022167469593,1.6326439476002315,1,0
LAT54.0_LON5.0,-0.3445853076465053,-0.3561704037432315,-0.3330002115497791,shallow,95,0.2388730035341971,1.9273026121457248,1,0
LAT38.9_LON-37.0,-0.3089080618155995,-0.3735136090549396,-0.2443025145762593,deep,4200,0.014260782407540563,0.34827841886198274,0,0
LAT48.6_LON-4.9,-0.34378549262035357,-0.3551160620939323,-0.33245492314677483,shallow,60,0.12221168641029312,1.3105428698489932,1,0
LAT38.8_LON-33.1,-0.3451943868091871,-0.35547271197135416,-0.3349160616470201,deep,4200,0.0060177982681476365,0.34031539757872065,0,0
LAT54.3_LON4.4,-0.34354029699404187,-0.3566628949319386,-0.33041769905614515,shallow,95,0.024630988260325212,1.914290151812201,1,0
LAT50.0_LON-0.9,-0.34060393161754277,-0.35127476003941327,-0.3299331031956724,shallow,60,0.11488396740284638,1.7075127157147012,1,0
LAT56.2_LON6.6,-0.3490488473224212,-0.35670055537094314,-0.34139713927389936,shallow,95,0.15302001456727038,1.458718144137193,1,0
LAT51.2_LON-4.5,-0.34780068737941194,-0.35754142653104254,-0.33805994822778135,shallow,60,0.15095716930046815,1.7251711134875167,1,1
LAT56.1_LON7.9,-0.34470588950699155,-0.3563684310406781,-0.3330433479733051,shallow,95,0.019584434642897216,1.402854121440949,1,0
LAT54.2_LON5.4,-0.3464319377688123,-0.35410217255397536,-0.33876170298364927,shallow,95,0.3517668990446468,1.4630378926917968,1,0
LAT40.5_LON-35.6,-0.3413127264549769,-0.35166449541349576,-0.33096095749645826,deep,4500,0.017563574015175082,0.9825110299097328,0,0
LAT43.1_LON-39.6,-0.33334390032311356,-0.36572999148332663,-0.30095780916290005,deep,4500,0.04492076483976811,-0.35137828376939845,0,0
LAT40.4_LON-38.2,-0.3436056157966412,-0.3571450083455767,-0.3300662232477056,deep,4500,0.011190305802815933,0.5111295450555216,0,0
LAT50.0_LON-2.5,-0.34671758395171576,-0.3574135490997109,-0.33602161880372056,shallow,60,0.704141175867986,0.9698011942414719,1,0
LAT58.0_LON5.2,-0.34436174360996297,-0.3543768315950655,-0.3343466556248603,shallow,95,0.06776600645121975,1.582752273233039,1,0
LAT35.4_LON-37.5,-0.3258177709400622,-0.3762348511345126,-0.27540069074561147,deep,4200,0.01028343759868578,-0.16868471610165842,0,1
LAT54.4_LON5.5,-0.34756660202233614,-0.3531694714532257,-0.3419637325914466,shallow,95,0.09052447980857249,1.790028628753604,1,0
LAT57.2_LON7.4,-0.34345012926140833,-0.35249467329494366,-0.3344055852278732,shallow,95,0.008136623053723339,1.5685160714842867,1,0
LAT49.1_LON-3.0,-0.3445972705223767,-0.3543237263107084,-0.3348708147340451,shallow,60,0.1813624449222764,1.6310149067747202,1,0
LAT41.3_LON-41.3,-0.3341741753204597,-0.3562014113913424,-0.31214693924957704,deep,4500,0.008430515527284037,0.0008524740546651255,0,0
LAT54.6_LON5.3,-0.34377256777332504,-0.35377649495106867,-0.33376864059558087,shallow,95,0.3891332278259355,1.4243704325454107,1,0
LAT40.6_LON-36.3,-0.3423459673966638,-0.3509869392032265,-0.3337049955901012,deep,4500,0.01041498946780342,0.5451129568996955,0,0
LAT52.9_LON4.7,-0.3454012017565127,-0.35837037198266125,-0.3324320315303641,shallow,95,4.8449237877337845,0.2092230717130099,1,0
LAT54.4_LON7.5,-0.33952479906677074,-0.3533659201782231,-0.3256836779553183,shallow,95,0.27141109882127445,1.930443276717627,1,0
LAT52.6_LON3.0,-0.34444824923785206,-0.35475841271463365,-0.33413808576107046,shallow,95,0.01634322050591351,1.6697235312866876,1,1
LAT52.9_LON2.9,-0.34387229352107446,-0.35601231643505216,-0.33173227060709665,shallow,95,0.009382167346432966,1.883279245845912,1,1
LAT55.3_LON5.4,-0.34982023575824434,-0.3568931989384985,-0.34274727257799015,shallow,95,0.09653108217296544,1.9444554157867115,1,0
LAT54.0_LON7.1,-0.348004875173226,-0.3548500526051041,-0.3411596977413474,shallow,95,0.05908078411351643,2.3800273915567636,1,0
LAT52.7_LON3.8,-0.3435266029135783,-0.35264646995298476,-0.3344067358741719,shallow,95,0.11976538143989265,1.7479725593632123,1,1
LAT54.6_LON5.1,-0.34415211335164697,-0.35248004312386305,-0.335824183579431,shallow,95,0.0261956158100436,2.01835804265554,1,0
LAT49.5_LON-0.7,-0.3454344063531843,-0.35202221510862963,-0.33884659759773894,shallow,60,0.2948133366445221,1.0066324563509927,1,0
LAT41.6_LON-40.7,-0.344574225259417,-0.35875178813250524,-0.33039666238632875,deep,4500,0.01709894400935531,0.3536065213301687,0,0
LAT40.7_LON-35.6,-0.34301639696255987,-0.3593671947718143,-0.32666559915330556,deep,4500,0.011694121471777128,-0.09011262720948476,0,0
LAT41.6_LON-41.1,-0.34343049174589807,-0.35093244477439317,-0.33592853871740297,deep,4500,0.010644505494774633,0.2998430914817843,0,0
LAT37.6_LON-33.3,-0.33039901763209756,-0.36263390727145595,-0.29816412799273884,deep,4200,0.004344010656820992,-0.001924635489265622,0,1
LAT57.4_LON7.7,-0.3480723121346804,-0.35608438159596256,-0.34006024267339807,shallow,95,0.32401505261270086,1.6561035349958648,1,0
LAT49.6_LON-0.6,-0.34546764961994403,-0.3528199936149651,-0.3381153056249228,shallow,60,0.1484436889075395,1.983244525819952,1,0
LAT49.8_LON-0.2,-0.3423621681662889,-0.35139299895605725,-0.3333313373765203,shallow,60,0.3809798109165802,1.4957739526656297,1,0
LAT56.2_LON5.7,-0.3553234579932122,-0.3785747252234245,-0.3320721907630003,shallow,95,0.1313223530906748,1.8226571701623135,1,0
LAT53.9_LON5.2,-0.34628941411910075,-0.3563334353979312,-0.3362453928402703,shallow,95,0.011173511947183894,2.187568959928025,1,0
LAT53.5_LON5.9,-0.3420390978407205,-0.35279332791857293,-0.3312848677628681,shallow,95,1.4316845895592187,0.8303123671052525,1,0
LAT55.4_LON7.9,-0.34392458187259467,-0.3561383306718639,-0.33171083307332533,shallow,95,1.9960812937370618,0.5738653757842768,1,0
LAT51.5_LON-4.1,-0.34588105481844655,-0.35641426712743685,-0.33534784250945626,shallow,60,0.2346577457705551,1.5393635053453447,1,0
LAT52.1_LON3.5,-0.34246792783374574,-0.35284492884483903,-0.33209092682265234,shallow,95,1.270905813689946,0.791848698750807,1,0
LAT53.0_LON2.4,-0.3427233575209138,-0.35747587204587855,-0.32797084299594875,shallow,95,0.008259777995024966,1.9876190745387419,1,0
LAT53.2_LON2.7,-0.34406938743163007,-0.3560900568560255,-0.33204871800723457,shallow,95,0.042043417574811934,1.849500065324746,1,0
LAT54.4_LON2.9,-0.3439773814717332,-0.35483377494925966,-0.3331209879942066,shallow,95,0.010081911331101295,1.6793058355321782,1,0
LAT55.7_LON5.5,-0.3436051127013455,-0.3526880415175756,-0.33452218388511556,shallow,95,0.07507973057897313,2.232771316361128,1,1
LAT50.5_LON1.2,-0.34838534214174843,-0.354608751941477,-0.34216193234201986,shallow,60,0.41127872545271893,1.559521109162677,1,0
LAT37.3_LON-31.0,-0.327927774678964,-0.3660688774380292,-0.28978667191989893,deep,4200,0.010753665556382894,0.6224190351715921,0,0
LAT40.8_LON-35.2,-0.34276246630785234,-0.3544042171467632,-0.3311207154689413,deep,4500,0.02096712875660184,0.6380789361636692,0,0
LAT42.3_LON-37.9,-0.3454275645819836,-0.35931640484224914,-0.33153872432171805,deep,4500,0.04864060386226495,0.5807865718089946,0,0
LAT38.5_LON-34.4,-0.30386338729931606,-0.3846470920480998,-0.22307968255053207,deep,4200,0.020432524352315233,0.06863906413980775,0,1
LAT52.6_LON2.2,-0.35552455424758383,-0.3787810554235674,-0.3322680530716004,shallow,95,1.086971109880029,1.9468939025564325,1,0
LAT54.0_LON2.5,-0.34717456275956915,-0.35282313297934587,-0.34152599253979243,shallow,95,0.9539189896592541,1.9914090389151657,1,0
LAT37.9_LON-34.6,-0.34506543175155285,-0.35184851149871615,-0.33828235200438955,deep,4200,0.012463839854912291,-0.13645729863813388,0,0
LAT53.6_LON6.2,-0.345720470886176,-0.3523609626157741,-0.33907997915657795,shallow,95,0.027519531429036074,1.844138951515396,1,0
LAT50.1_LON-0.5,-0.3372111542248796,-0.35875973855895715,-0.315662569890802,shallow,60,0.405417669837137,1.848123802773032,1,0
LAT56.0_LON6.8,-0.3430986916793625,-0.3548989652774885,-0.33129841808123667,shallow,95,0.23831040937052378,1.623281011059602,1,0
LAT55.6_LON5.1,-0.35132461650777386,-0.35988985121029055,-0.3427593818052573,shallow,95,0.06299095349984304,2.155321526703151,1,0
LAT41.4_LON-42.5,-0.3437222375662754,-0.35285243969005137,-0.33459203544249944,deep,4500,0.05030599454577556,0.7625818774732182,0,0
LAT50.0_LON-3.8,-0.3427366457392991,-0.35236914825405574,-0.3331041432245426,shallow,60,1.101595759159597,1.6458224101443735,1,0
LAT49.7_LON-3.7,-0.3439071060918893,-0.35185066118241337,-0.3359635510013652,shallow,60,2.143371804557868,1.1442443805596958,1,0
LAT53.2_LON4.9,-0.34436001135631883,-0.35072378597946213,-0.33799623673317564,shallow,95,0.5209537986336943,1.3634444206134697,1,0
LAT53.5_LON5.3,-0.34699431018819277,-0.3519472962011003,-0.3420413241752852,shallow,95,1.3994040000584995,1.4841960906028615,1,0
LAT55.6_LON3.5,-0.34717456275956915,-0.35282313297934587,-0.34152599253979243,shallow,95,0.15005310007227662,1.7957248236213819,1,0
LAT57.9_LON5.3,-0.34587483909745653,-0.35327827194993916,-0.3384714062449738,shallow,95,0.07052579672675163,2.1039419703432003,1,1
LAT49.0_LON-2.2,-0.34630644363414326,-0.3525687629024853,-0.3400441243658012,shallow,60,1.499738890532122,1.0562328053037482,1,0
LAT37.6_LON-37.4,-0.33329267885234626,-0.37924797735521876,-0.28733738034947387,deep,4200,0.010442979227190154,0.49968041821811865,0,0
LAT42.7_LON-43.9,-0.3436660182186937,-0.3515386046383646,-0.33579343179902277,deep,4500,0.008332551369430473,0.33323310733428024,0,0
LAT51.9_LON1.7,-0.34814211862558136,-0.3531316629387615,-0.3431525743124012,shallow,60,0.03520272038069434,1.8178909895036177,1,0
LAT54.0_LON4.9,-0.3463801481530613,-0.3548246250415624,-0.33793567126456014,shallow,95,0.01612210140675832,2.136470623865947,1,0
LAT40.0_LON-37.7,-0.34669775086328314,-0.35561464294224326,-0.3377808587843228,deep,4200,0.008371737032571897,0.4100958270697377,0,0
LAT57.8_LON4.0,-0.34408201140905736,-0.3556645886444394,-0.3324994341736752,shallow,95,0.2549139346387339,1.5777761404778046,1,0
LAT53.7_LON6.3,-0.34328271950799916,-0.35291213014723405,-0.3336533088687638,shallow,95,0.11881093064480507,1.7209662492238575,1,1
LAT39.3_LON-37.0,-0.25119356599748444,-0.4663270499896258,-0.03606008200534308,deep,4200,0.02055567929361686,0.017216880365899356,0,0
LAT57.6_LON3.5,-0.34670745781872886,-0.3521787983279482,-0.34123611730950965,shallow,95,0.007809142868898561,2.0188888989142857,1,0
LAT50.0_LON-3.9,-0.3430878285688656,-0.35250433563265177,-0.33367132150507944,shallow,60,1.0340844595187964,1.4233934793710623,1,0
LAT54.0_LON6.3,-0.34592950830238417,-0.3580615452886132,-0.333797471316155,shallow,95,0.03759024685638268,2.059091332721865,1,0
LAT50.6_LON-2.3,-0.3458760981561495,-0.35296018900719317,-0.33879200730510584,shallow,60,0.2495958803552545,1.611122370527286,1,0
LAT37.3_LON-39.8,-0.3343213982287207,-0.36946555434112077,-0.29917724211632063,deep,4200,0.0517922507692111,0.9339425226997327,0,1
LAT57.5_LON7.3,-0.3496853898113223,-0.35993660880252343,-0.33943417082012195,shallow,95,0.7692593510812205,1.9140425322953252,1,0
LAT50.6_LON-0.4,-0.34711653697843814,-0.3535343578292486,-0.34069871612762737,shallow,60,0.5419321232940508,1.302455628608821,1,0
LAT36.0_LON-34.6,-0.34344098341036994,-0.3523077090037997,-0.33457425781694006,deep,4200,0.04345969939978063,0.9536184359339377,0,0
LAT55.9_LON4.2,-0.3443230698907787,-0.35650745041517284,-0.3321386893663846,shallow,95,0.01876993264474328,1.6528249459399769,1,0
LAT41.8_LON-36.5,-0.34603294398649853,-0.3707325399228661,-0.32133334805013086,deep,4500,0.04023248014249029,0.0670972694441998,0,1
LAT52.2_LON3.4,-0.345810105466099,-0.3531106668965864,-0.3385095440356117,shallow,95,0.4954355350008096,1.1397854163972019,1,0
LAT37.7_LON-32.9,-0.34627984713624516,-0.3513023654256018,-0.34125732884688853,deep,4200,0.09119063608197675,0.41967269397716234,0,0
LAT50.7_LON0.5,-0.34477876174976957,-0.3545305669646377,-0.33502695653490167,shallow,60,0.5634422533827551,1.581081822395812,1,0
LAT56.3_LON4.3,-0.34313432732406657,-0.35434151203143616,-0.3319271426166972,shallow,95,0.004534341020650778,1.6375167525487409,1,1
LAT36.7_LON-38.7,-0.3446728254439981,-0.35317218825621877,-0.3361734626317775,deep,4200,0.04679607871867923,0.06921693610640733,0,0
LAT56.2_LON7.7,-0.34627560618276804,-0.3545829438014853,-0.33796826856405077,shallow,95,0.002936125759668312,1.9132582975038455,1,0
LAT53.6_LON6.6,-0.3460498629360452,-0.3546995210343666,-0.33740020483772376,shallow,95,0.04111695653911106,1.6295048003233545,1,0
LAT35.0_LON-36.1,-0.3324473186413949,-0.3799580484772607,-0.28493658880552913,deep,4200,0.011660533760513049,0.3246878579741841,0,1
LAT55.2_LON6.4,-0.34717456275956915,-0.35282313297934587,-0.34152599253979243,shallow,95,0.48943453058829406,1.683237134062856,1,0
LAT52.4_LON4.5,-0.3436051127013455,-0.3526880415175756,-0.33452218388511556,shallow,95,1.2603396795214543,1.6509973950364358,1,1
LAT53.4_LON3.8,-0.3467372121374425,-0.3562472912015429,-0.33722713307334223,shallow,95,0.15041416796836551,1.4123330046584652,1,0
LAT54.7_LON7.2,-0.34720073355147174,-0.35201456387708546,-0.342386903225858,shallow,95,0.21858322695475418,1.8825842594005113,1,0
LAT55.7_LON5.5,-0.34568685324667975,-0.3531408876694929,-0.3382328188238666,shallow,95,0.19521737581870935,1.8502460681601667,1,0
LAT35.0_LON-32.4,-0.33425126770816777,-0.3703748388280696,-0.2981276965882658,deep,4200,0.03154725780478698,0.25482495944771816,0,1
LAT55.0_LON7.7,-0.34459008320979323,-0.3532266061078249,-0.33595356031176166,shallow,95,0.07300289043247751,1.9259445957928993,1,1
LAT50.2_LON-4.1,-0.3420294595394727,-0.3477720447775248,-0.3362868743014206,shallow,60,1.630980073320575,0.692244040711492,1,0
LAT56.7_LON4.4,-0.34695448688668074,-0.3524512709075544,-0.34145770286580684,shallow,95,0.029187721088485375,2.0719379537344778,1,0
LAT49.5_LON-4.3,-0.3470658367714706,-0.35787289635744357,-0.3362587771854973,shallow,60,0.837557162960788,1.724410349045545,1,0
LAT49.9_LON-4.8,-0.33962084082826816,-0.3516931593399328,-0.32754852231660364,shallow,60,1.1183196403931701,1.2505145580317536,1,0
LAT41.2_LON-44.0,-0.34728788612565387,-0.3577111230934373,-0.33686464915787045,deep,4500,0.02713607172543784,0.4917015577992623,0,0
LAT56.3_LON5.7,-0.34379042065348614,-0.3559761871905007,-0.33160465411647144,shallow,95,0.04252204246032508,1.5215366553305316,1,0
LAT53.0_LON4.5,-0.3485184613029385,-0.3564725204272468,-0.3405644021786302,shallow,95,1.3293764210488317,1.120226447997612,1,0
LAT35.9_LON-32.6,-0.34157274873819665,-0.3516227225828469,-0.3315227748935467,deep,4200,0.06725939180631987,0.6679522617459048,0,0
LAT56.3_LON3.5,-0.3441849021492873,-0.3524503226842695,-0.335919481614305,shallow,95,0.12076461584999904,1.7115531927695586,1,0
LAT54.6_LON6.5,-0.3439115067177449,-0.35799966458519006,-0.32982334885029996,shallow,95,0.3726752493065364,1.2782077440367798,1,0
LAT54.3_LON6.1,-0.34459008320979323,-0.3532266061078249,-0.33595356031176166,shallow,95,0.05712150095644511,1.6830738534137835,1,0
LAT53.9_LON2.2,-0.3445853076465053,-0.3561704037432315,-0.3330002115497791,shallow,95,0.2467633167053172,1.7460968214483137,1,1
LAT50.4_LON-3.3,-0.34349580115036316,-0.3522659707985895,-0.3347256315021368,shallow,60,1.97490424178506,1.3545822207224614,1,1
LAT35.6_LON-32.1,-0.33336490549551634,-0.3797684643942864,-0.28696134659674616,deep,4200,0.017392836482916008,0.607414036082427,0,0
LAT49.0_LON-4.6,-0.34268414701413985,-0.3514315659323886,-0.3339367280958913,shallow,60,0.002603047622966187,1.449349735768624,1,0
LAT53.3_LON2.1,-0.3463938983069834,-0.35463810075642715,-0.33814969585754034,shallow,95,0.009550105902753367,1.8474125937192107,1,0
LAT37.1_LON-37.2,-0.3438622507880672,-0.35202115934427114,-0.33570334223186327,deep,4200,0.017306068228817136,-0.08193849066248814,0,0
LAT52.8_LON5.5,-0.3419860554843761,-0.34985085849241165,-0.33412125247634056,shallow,95,0.17601640087941042,1.7840129475772026,1,0
LAT49.8_LON-4.6,-0.34779764554896847,-0.3539237012682198,-0.3416715898297171,shallow,60,0.6990918232746189,1.3027918153296718,1,0
LAT51.1_LON-4.7,-0.34790499182297524,-0.3526777169751707,-0.3431322666707799,shallow,60,0.02188799184042535,1.241265561983337,1,0
LAT56.2_LON7.8,-0.3440923365887248,-0.35221616970531033,-0.3359685034721393,shallow,95,1.2703236266947024,1.4768398999363341,1,0
LAT37.8_LON-31.9,-0.33703925995221934,-0.3685939277569417,-0.3054845921474972,deep,4200,0.020043466696839634,0.08922557799217071,0,1
LAT55.4_LON3.3,-0.3470825038972622,-0.35149909651533406,-0.34266591127919044,shallow,95,0.06300214940359775,2.014008574557872,1,0
LAT55.7_LON5.5,-0.34313432732406657,-0.35434151203143616,-0.3319271426166972,shallow,95,0.23041169927158767,1.770323880485704,1,0
LAT51.0_LON1.5,-0.3482268368983277,-0.3577825659915713,-0.338671107805084,shallow,60,0.5140935086080058,0.8965449293287668,1,0
LAT51.4_LON1.5,-0.3470362746528956,-0.35187511771469565,-0.34219743159109567,shallow,60,0.3977904604042521,2.069802404927531,1,0
LAT49.9_LON-2.5,-0.34377338455526785,-0.3521462636968577,-0.335400505413678,shallow,60,0.07159220655938617,1.5441282298541776,1,0
LAT43.9_LON-40.2,-0.3452736452261211,-0.35260756023085676,-0.3379397302213854,deep,4500,0.006076576762859777,0.036383102948696004,0,0
LAT52.4_LON5.2,-0.3426997836333518,-0.34978645962326055,-0.33561310764344293,shallow,95,0.0025190783448059877,2.070856721697114,1,0
LAT36.2_LON-31.5,-0.3285686819903477,-0.37694994768830475,-0.2801874162923906,deep,4200,0.010392597660294036,0.12250387168009014,0,0
LAT50.5_LON1.4,-0.34633685615096826,-0.35762554067412305,-0.3350481716278135,shallow,60,2.258597247025233,1.1211944253270985,1,0
LAT36.5_LON-39.3,-0.33442725689189245,-0.3731572611736975,-0.2956972526100876,deep,4200,0.012371473648936074,0.2470372766121417,0,0
LAT49.7_LON-4.5,-0.34219343787147494,-0.3479104506480575,-0.33647642509489223,shallow,60,0.8784557993766826,1.579916761886862,1,0
LAT55.4_LON7.6,-0.34638812800861507,-0.3523600112739499,-0.34041624474328025,shallow,95,0.009236620597621955,1.9060526110220404,1,0
LAT49.5_LON-3.0,-0.3461926691090874,-0.3570043615620274,-0.3353809766561474,shallow,60,0.1939578366463064,1.2114989371026788,1,0
LAT42.2_LON-40.3,-0.3494263013341174,-0.3723336903789085,-0.3265189122893263,deep,4500,0.017079351177784596,0.15266787024387338,0,0
LAT49.3_LON-2.3,-0.3437065744907022,-0.3519230828358593,-0.33549006614554494,shallow,60,0.0401261190568207,1.7826230155465674,1,0
LAT57.0_LON3.6,-0.3439115067177449,-0.35799966458519006,-0.32982334885029996,shallow,95,0.05317494488291572,1.1965496102959066,1,0
LAT53.2_LON2.3,-0.3471209559473298,-0.3523279548685994,-0.34191395702606037,shallow,95,0.4385407510953971,1.4159765033975342,1,0
LAT57.6_LON7.3,-0.3479281263874595,-0.35425883928526414,-0.341597413489655,shallow,95,0.29310316234599265,2.039538801547333,1,0
LAT57.0_LON5.6,-0.346971756073698,-0.35718611387313093,-0.33675739827426454,shallow,95,0.003918566314142647,2.249777777139623,1,0
LAT57.7_LON7.4,-0.34749680199922894,-0.35477705074969945,-0.3402165532487583,shallow,95,0.01990631687584465,1.9066217479103296,1,0
LAT37.8_LON-37.2,-0.3468708286653781,-0.3540104202071056,-0.3397312371236506,deep,4200,0.008430515527284037,0.4148852253222805,0,0
LAT49.9_LON-0.6,-0.344715708991357,-0.3530944180776469,-0.3363369999050673,shallow,60,0.5478575553562222,0.9313001532144558,1,1
LAT53.8_LON5.4,-0.3432873360223598,-0.3529490276105654,-0.33362564443415427,shallow,95,0.021722852260043633,1.8208162291949144,1,1
