cell_id,week_index,year,week,date,treated,post,covid_active,vessel_density,dvm_amplitude,sst,log_chla,bathymetry,season_sin,season_cos,season_q
CELL_041,0,2018,1,2018-01-01,1,0,0,35.891,-11.4492,15.638,0.6416,497.1,0.1205,0.9927,0
CELL_042,0,2018,1,2018-01-01,1,0,0,39.137,-12.3415,16.54,0.5633,220.6,0.1205,0.9927,0
CELL_043,0,2018,1,2018-01-01,1,0,0,23.335,-6.8964,14.043,0.8875,745.6,0.1205,0.9927,0
CELL_044,0,2018,1,2018-01-01,1,0,0,15.53,-3.8244,14.341,0.7118,355.3,0.1205,0.9927,0
CELL_045,0,2018,1,2018-01-01,1,0,0,40.283,-13.0631,14.315,0.3374,597.5,0.1205,0.9927,0
CELL_046,0,2018,1,2018-01-01,1,0,0,24.816,-7.3227,15.025,0.8508,387.0,0.1205,0.9927,0
CELL_047,0,2018,1,2018-01-01,1,0,0,40.906,-12.3728,15.808,0.679,512.0,0.1205,0.9927,0
CELL_048,0,2018,1,2018-01-01,1,0,0,37.543,-11.629,13.727,-0.417,528.0,0.1205,0.9927,0
CELL_049,0,2018,1,2018-01-01,1,0,0,37.634,-11.884,14.679,0.6123,310.9,0.1205,0.9927,0
CELL_050,0,2018,1,2018-01-01,0,0,0,8.407,-1.9533,14.827,0.527,3706.5,0.1205,0.9927,0
CELL_051,0,2018,1,2018-01-01,0,0,0,6.244,-1.1015,14.902,0.0771,1566.6,0.1205,0.9927,0
CELL_052,0,2018,1,2018-01-01,0,0,0,8.058,-1.5521,15.8,1.2689,1263.7,0.1205,0.9927,0
CELL_053,0,2018,1,2018-01-01,0,0,0,0.0,1.2389,14.623,0.5002,2366.2,0.1205,0.9927,0
CELL_054,0,2018,1,2018-01-01,0,0,0,0.0,0.4972,15.947,0.3933,3954.1,0.1205,0.9927,0
CELL_055,0,2018,1,2018-01-01,0,0,0,2.188,0.5032,13.399,0.8839,1574.6,0.1205,0.9927,0
CELL_056,0,2018,1,2018-01-01,0,0,0,0.0,1.2646,13.687,0.3044,2950.8,0.1205,0.9927,0
CELL_057,0,2018,1,2018-01-01,0,0,0,3.41,-0.2788,13.521,0.3495,3237.2,0.1205,0.9927,0
CELL_058,0,2018,1,2018-01-01,0,0,0,0.307,1.3882,14.68,0.3569,1560.4,0.1205,0.9927,0
CELL_059,0,2018,1,2018-01-01,0,0,0,7.575,-1.9841,15.624,0.3379,3130.3,0.1205,0.9927,0
CELL_060,0,2018,1,2018-01-01,0,0,0,8.088,-1.4335,14.771,0.4793,1976.9,0.1205,0.9927,0
CELL_061,0,2018,1,2018-01-01,0,0,0,4.613,-0.9896,14.608,0.1855,2823.4,0.1205,0.9927,0
CELL_062,0,2018,1,2018-01-01,0,0,0,3.226,-0.1203,14.288,0.1159,2827.3,0.1205,0.9927,0
CELL_063,0,2018,1,2018-01-01,0,0,0,3.218,-0.3347,15.926,-0.8532,2514.5,0.1205,0.9927,0
CELL_064,0,2018,1,2018-01-01,0,0,0,8.199,-1.2672,13.065,0.301,1088.9,0.1205,0.9927,0
CELL_065,0,2018,1,2018-01-01,0,0,0,0.115,0.8815,14.101,-0.083,3473.0,0.1205,0.9927,0
CELL_066,0,2018,1,2018-01-01,0,0,0,7.677,-1.9189,15.74,0.8332,1826.5,0.1205,0.9927,0
CELL_067,0,2018,1,2018-01-01,0,0,0,4.478,-0.5016,15.115,-0.1387,1396.9,0.1205,0.9927,0
CELL_068,0,2018,1,2018-01-01,0,0,0,1.498,0.649,14.423,0.8278,930.5,0.1205,0.9927,0
CELL_069,0,2018,1,2018-01-01,0,0,0,0.625,0.5545,15.651,-0.0682,2690.9,0.1205,0.9927,0
CELL_070,0,2018,1,2018-01-01,0,0,0,2.69,-0.3623,14.476,0.6354,2968.2,0.1205,0.9927,0
CELL_071,0,2018,1,2018-01-01,0,0,0,2.939,0.4559,14.575,0.211,853.1,0.1205,0.9927,0
CELL_072,0,2018,1,2018-01-01,0,0,0,0.064,1.0344,13.596,-0.306,2438.7,0.1205,0.9927,0
CELL_073,0,2018,1,2018-01-01,0,0,0,1.854,0.7706,16.127,-0.5686,1524.8,0.1205,0.9927,0
CELL_074,0,2018,1,2018-01-01,0,0,0,1.778,0.4416,14.646,0.1999,2864.6,0.1205,0.9927,0
CELL_075,0,2018,1,2018-01-01,0,0,0,2.52,0.2101,15.606,0.5294,1358.0,0.1205,0.9927,0
CELL_076,0,2018,1,2018-01-01,0,0,0,4.497,-1.1345,14.678,0.6262,3011.0,0.1205,0.9927,0
CELL_077,0,2018,1,2018-01-01,0,0,0,0.0,1.0797,15.318,0.5578,2037.6,0.1205,0.9927,0
CELL_078,0,2018,1,2018-01-01,0,0,0,5.109,-1.5148,15.001,0.2024,3797.5,0.1205,0.9927,0
CELL_079,0,2018,1,2018-01-01,0,0,0,2.801,0.2959,13.941,0.6764,1240.1,0.1205,0.9927,0
CELL_080,0,2018,1,2018-01-01,0,0,0,3.649,0.1961,15.101,0.6003,1891.4,0.1205,0.9927,0
CELL_081,0,2018,1,2018-01-01,0,0,0,7.815,-2.1127,15.535,-0.4481,1163.1,0.1205,0.9927,0
CELL_082,0,2018,1,2018-01-01,0,0,0,2.895,-0.6278,14.744,0.7312,3759.0,0.1205,0.9927,0
CELL_083,0,2018,1,2018-01-01,0,0,0,5.761,-1.3678,14.119,0.1666,3607.5,0.1205,0.9927,0
CELL_084,0,2018,1,2018-01-01,0,0,0,2.829,0.3193,13.642,-0.0156,1625.4,0.1205,0.9927,0
CELL_085,0,2018,1,2018-01-01,0,0,0,3.119,-0.0817,16.829,0.719,2911.9,0.1205,0.9927,0
CELL_086,0,2018,1,2018-01-01,0,0,0,0.693,0.2191,15.283,0.1845,3415.1,0.1205,0.9927,0
CELL_087,0,2018,1,2018-01-01,0,0,0,7.007,-1.5723,14.646,1.047,2576.6,0.1205,0.9927,0
CELL_088,0,2018,1,2018-01-01,0,0,0,4.683,-0.4901,16.14,0.1588,2494.9,0.1205,0.9927,0
CELL_089,0,2018,1,2018-01-01,0,0,0,6.45,-0.7792,14.273,0.7885,1573.9,0.1205,0.9927,0
CELL_090,0,2018,1,2018-01-01,0,0,0,7.196,-1.3693,13.467,0.1088,1097.9,0.1205,0.9927,0
CELL_091,0,2018,1,2018-01-01,0,0,0,2.914,-0.469,15.22,0.5612,3671.1,0.1205,0.9927,0
CELL_092,0,2018,1,2018-01-01,0,0,0,3.62,-0.4401,15.212,0.7522,3681.3,0.1205,0.9927,0
CELL_093,0,2018,1,2018-01-01,0,0,0,6.55,-1.773,15.091,0.4372,2825.9,0.1205,0.9927,0
CELL_094,0,2018,1,2018-01-01,0,0,0,3.563,-0.3644,14.889,0.6081,1884.9,0.1205,0.9927,0
CELL_095,0,2018,1,2018-01-01,0,0,0,3.492,0.0119,15.566,0.4525,1917.5,0.1205,0.9927,0
CELL_096,0,2018,1,2018-01-01,0,0,0,5.349,-0.9014,14.747,0.9415,3123.1,0.1205,0.9927,0
CELL_097,0,2018,1,2018-01-01,0,0,0,3.337,-0.681,14.353,0.2551,3670.8,0.1205,0.9927,0
CELL_098,0,2018,1,2018-01-01,0,0,0,5.199,-1.2923,14.34,1.1002,3638.7,0.1205,0.9927,0
CELL_099,0,2018,1,2018-01-01,0,0,0,4.399,-0.2824,14.371,1.1958,3295.6,0.1205,0.9927,0
CELL_000,1,2018,2,2018-01-08,1,0,0,33.114,-9.7,14.247,0.6771,424.7,0.2393,0.9709,0
CELL_001,1,2018,2,2018-01-08,1,0,0,17.268,-4.5729,16.288,0.2849,770.4,0.2393,0.9709,0
CELL_002,1,2018,2,2018-01-08,1,0,0,23.639,-6.568,15.146,0.3208,639.2,0.2393,0.9709,0
CELL_003,1,2018,2,2018-01-08,1,0,0,40.623,-12.979,15.018,0.3335,559.2,0.2393,0.9709,0
CELL_004,1,2018,2,2018-01-08,1,0,0,27.472,-8.3727,14.701,0.0415,293.6,0.2393,0.9709,0
CELL_005,1,2018,2,2018-01-08,1,0,0,15.161,-3.9325,15.623,1.3188,293.6,0.2393,0.9709,0
CELL_006,1,2018,2,2018-01-08,1,0,0,19.505,-5.244,15.265,0.5189,234.9,0.2393,0.9709,0
CELL_007,1,2018,2,2018-01-08,1,0,0,29.342,-8.7568,15.742,0.6268,719.7,0.2393,0.9709,0
CELL_008,1,2018,2,2018-01-08,1,0,0,15.705,-4.6018,17.4,0.2247,560.7,0.2393,0.9709,0
CELL_009,1,2018,2,2018-01-08,1,0,0,17.774,-4.3655,14.992,0.2249,624.8,0.2393,0.9709,0
CELL_010,1,2018,2,2018-01-08,1,0,0,31.559,-9.7396,14.979,0.1274,212.4,0.2393,0.9709,0
CELL_011,1,2018,2,2018-01-08,1,0,0,31.193,-10.1015,15.942,0.6451,781.9,0.2393,0.9709,0
CELL_012,1,2018,2,2018-01-08,1,0,0,34.394,-10.8003,16.873,0.2372,699.5,0.2393,0.9709,0
CELL_013,1,2018,2,2018-01-08,1,0,0,21.178,-5.4234,15.703,0.8729,327.4,0.2393,0.9709,0
CELL_014,1,2018,2,2018-01-08,1,0,0,32.451,-10.1206,14.797,-0.1461,309.1,0.2393,0.9709,0
CELL_015,1,2018,2,2018-01-08,1,0,0,20.865,-5.9325,16.872,0.2848,310.0,0.2393,0.9709,0
CELL_016,1,2018,2,2018-01-08,1,0,0,23.102,-6.5576,16.387,1.8071,382.5,0.2393,0.9709,0
CELL_017,1,2018,2,2018-01-08,1,0,0,32.683,-9.8162,16.271,0.8845,514.9,0.2393,0.9709,0
CELL_018,1,2018,2,2018-01-08,1,0,0,32.409,-9.6321,15.148,0.8389,459.2,0.2393,0.9709,0
CELL_019,1,2018,2,2018-01-08,1,0,0,37.872,-11.624,15.842,1.0769,374.7,0.2393,0.9709,0
CELL_020,1,2018,2,2018-01-08,1,0,0,34.205,-10.499,15.955,0.46,567.1,0.2393,0.9709,0
CELL_021,1,2018,2,2018-01-08,1,0,0,31.621,-9.6535,14.782,0.7279,283.7,0.2393,0.9709,0
CELL_022,1,2018,2,2018-01-08,1,0,0,17.399,-4.8645,16.459,0.6391,375.3,0.2393,0.9709,0
CELL_023,1,2018,2,2018-01-08,1,0,0,21.473,-5.7094,16.033,0.8663,419.8,0.2393,0.9709,0
CELL_024,1,2018,2,2018-01-08,1,0,0,21.015,-5.5824,15.611,0.6683,473.6,0.2393,0.9709,0
CELL_025,1,2018,2,2018-01-08,1,0,0,20.909,-5.9687,15.659,0.8475,671.1,0.2393,0.9709,0
CELL_026,1,2018,2,2018-01-08,1,0,0,38.432,-12.2493,15.591,1.0804,319.8,0.2393,0.9709,0
CELL_027,1,2018,2,2018-01-08,1,0,0,25.093,-7.4855,14.876,1.1411,508.5,0.2393,0.9709,0
CELL_028,1,2018,2,2018-01-08,1,0,0,36.183,-11.1073,15.738,1.3264,555.4,0.2393,0.9709,0
CELL_029,1,2018,2,2018-01-08,1,0,0,29.668,-9.7738,16.941,-0.1804,227.9,0.2393,0.9709,0
CELL_030,1,2018,2,2018-01-08,1,0,0,35.75,-11.1772,15.034,0.033,564.5,0.2393,0.9709,0
CELL_031,1,2018,2,2018-01-08,1,0,0,28.054,-8.321,14.985,-0.0966,302.3,0.2393,0.9709,0
CELL_032,1,2018,2,2018-01-08,1,0,0,30.723,-9.5221,15.357,1.4669,239.0,0.2393,0.9709,0
CELL_033,1,2018,2,2018-01-08,1,0,0,24.262,-7.2966,14.882,0.5208,769.3,0.2393,0.9709,0
CELL_034,1,2018,2,2018-01-08,1,0,0,19.399,-5.4706,15.718,-0.0822,779.4,0.2393,0.9709,0
CELL_035,1,2018,2,2018-01-08,1,0,0,32.897,-10.1475,16.33,0.715,685.0,0.2393,0.9709,0
CELL_036,1,2018,2,2018-01-08,1,0,0,23.159,-6.3452,15.794,0.865,382.8,0.2393,0.9709,0
CELL_037,1,2018,2,2018-01-08,1,0,0,16.001,-3.7265,16.003,0.4987,258.6,0.2393,0.9709,0
CELL_038,1,2018,2,2018-01-08,1,0,0,29.784,-9.3515,16.877,0.5235,610.5,0.2393,0.9709,0
CELL_039,1,2018,2,2018-01-08,1,0,0,19.684,-5.5152,14.891,0.9639,464.1,0.2393,0.9709,0
CELL_040,1,2018,2,2018-01-08,1,0,0,37.619,-12.1717,13.924,0.3174,273.2,0.2393,0.9709,0
CELL_041,1,2018,2,2018-01-08,1,0,0,35.68,-11.1305,16.044,0.9365,497.1,0.2393,0.9709,0
CELL_042,1,2018,2,2018-01-08,1,0,0,35.938,-11.3813,15.398,0.5418,220.6,0.2393,0.9709,0
CELL_043,1,2018,2,2018-01-08,1,0,0,27.261,-8.3393,16.138,0.4331,745.6,0.2393,0.9709,0
CELL_044,1,2018,2,2018-01-08,1,0,0,15.803,-4.1176,13.803,0.42,355.3,0.2393,0.9709,0
CELL_045,1,2018,2,2018-01-08,1,0,0,36.205,-11.0716,15.211,1.4424,597.5,0.2393,0.9709,0
CELL_046,1,2018,2,2018-01-08,1,0,0,24.562,-6.8003,15.894,1.2433,387.0,0.2393,0.9709,0
CELL_047,1,2018,2,2018-01-08,1,0,0,39.286,-11.9423,14.918,0.8927,512.0,0.2393,0.9709,0
CELL_048,1,2018,2,2018-01-08,1,0,0,40.881,-12.9739,15.944,1.0684,528.0,0.2393,0.9709,0
CELL_049,1,2018,2,2018-01-08,1,0,0,38.96,-12.0562,15.594,1.5812,310.9,0.2393,0.9709,0
CELL_050,1,2018,2,2018-01-08,0,0,0,6.988,-1.8015,15.594,0.2179,3706.5,0.2393,0.9709,0
CELL_051,1,2018,2,2018-01-08,0,0,0,4.642,-0.6018,15.775,0.805,1566.6,0.2393,0.9709,0
CELL_052,1,2018,2,2018-01-08,0,0,0,4.245,-0.0659,17.15,1.4074,1263.7,0.2393,0.9709,0
CELL_053,1,2018,2,2018-01-08,0,0,0,1.891,0.2042,15.532,0.8503,2366.2,0.2393,0.9709,0
CELL_054,1,2018,2,2018-01-08,0,0,0,0.838,0.6895,14.101,0.7432,3954.1,0.2393,0.9709,0
CELL_055,1,2018,2,2018-01-08,0,0,0,3.246,-0.6409,16.695,-0.0693,1574.6,0.2393,0.9709,0
CELL_056,1,2018,2,2018-01-08,0,0,0,1.581,0.3845,16.274,1.3856,2950.8,0.2393,0.9709,0
CELL_057,1,2018,2,2018-01-08,0,0,0,6.086,-1.0725,15.405,0.4573,3237.2,0.2393,0.9709,0
CELL_058,1,2018,2,2018-01-08,0,0,0,7.006,-0.5121,14.175,1.2819,1560.4,0.2393,0.9709,0
CELL_059,1,2018,2,2018-01-08,0,0,0,2.626,0.16,15.753,0.7906,3130.3,0.2393,0.9709,0
CELL_060,1,2018,2,2018-01-08,0,0,0,1.84,1.0307,14.899,0.5308,1976.9,0.2393,0.9709,0
CELL_061,1,2018,2,2018-01-08,0,0,0,5.304,-1.5128,15.139,0.9294,2823.4,0.2393,0.9709,0
CELL_062,1,2018,2,2018-01-08,0,0,0,5.589,-1.0758,14.044,0.3624,2827.3,0.2393,0.9709,0
CELL_063,1,2018,2,2018-01-08,0,0,0,1.139,0.5354,16.365,0.3097,2514.5,0.2393,0.9709,0
CELL_064,1,2018,2,2018-01-08,0,0,0,5.613,-0.6587,15.818,0.582,1088.9,0.2393,0.9709,0
CELL_065,1,2018,2,2018-01-08,0,0,0,4.923,-1.3147,15.041,-0.2347,3473.0,0.2393,0.9709,0
CELL_066,1,2018,2,2018-01-08,0,0,0,8.807,-2.2689,16.116,0.3693,1826.5,0.2393,0.9709,0
CELL_067,1,2018,2,2018-01-08,0,0,0,4.883,-0.6048,17.097,0.7346,1396.9,0.2393,0.9709,0
CELL_068,1,2018,2,2018-01-08,0,0,0,4.04,-0.5326,15.627,0.4141,930.5,0.2393,0.9709,0
CELL_069,1,2018,2,2018-01-08,0,0,0,1.204,0.5382,15.406,0.9074,2690.9,0.2393,0.9709,0
CELL_070,1,2018,2,2018-01-08,0,0,0,2.969,-0.6585,15.371,0.5829,2968.2,0.2393,0.9709,0
CELL_071,1,2018,2,2018-01-08,0,0,0,2.924,-0.1752,15.713,1.0426,853.1,0.2393,0.9709,0
CELL_072,1,2018,2,2018-01-08,0,0,0,5.649,-1.0013,15.324,1.0977,2438.7,0.2393,0.9709,0
CELL_073,1,2018,2,2018-01-08,0,0,0,5.641,-0.1527,14.593,0.2317,1524.8,0.2393,0.9709,0
CELL_074,1,2018,2,2018-01-08,0,0,0,0.975,0.8954,15.61,0.9786,2864.6,0.2393,0.9709,0
CELL_075,1,2018,2,2018-01-08,0,0,0,2.896,0.3667,15.728,1.7453,1358.0,0.2393,0.9709,0
CELL_076,1,2018,2,2018-01-08,0,0,0,5.627,-0.9251,16.276,1.0964,3011.0,0.2393,0.9709,0
CELL_077,1,2018,2,2018-01-08,0,0,0,2.394,0.3493,14.521,1.3603,2037.6,0.2393,0.9709,0
CELL_078,1,2018,2,2018-01-08,0,0,0,5.678,-1.3659,14.832,0.5115,3797.5,0.2393,0.9709,0
CELL_079,1,2018,2,2018-01-08,0,0,0,3.052,0.6967,15.773,1.3504,1240.1,0.2393,0.9709,0
CELL_080,1,2018,2,2018-01-08,0,0,0,1.103,0.727,16.207,1.1383,1891.4,0.2393,0.9709,0
CELL_081,1,2018,2,2018-01-08,0,0,0,5.678,-0.6246,15.997,0.3948,1163.1,0.2393,0.9709,0
CELL_082,1,2018,2,2018-01-08,0,0,0,3.845,-0.9081,15.536,0.4571,3759.0,0.2393,0.9709,0
CELL_083,1,2018,2,2018-01-08,0,0,0,3.195,-0.0417,14.284,1.3408,3607.5,0.2393,0.9709,0
CELL_084,1,2018,2,2018-01-08,0,0,0,2.693,-0.0185,13.713,0.2241,1625.4,0.2393,0.9709,0
CELL_085,1,2018,2,2018-01-08,0,0,0,8.301,-1.5296,16.244,0.1995,2911.9,0.2393,0.9709,0
CELL_086,1,2018,2,2018-01-08,0,0,0,4.374,-0.8136,15.176,-0.7061,3415.1,0.2393,0.9709,0
CELL_087,1,2018,2,2018-01-08,0,0,0,0.0,1.5887,14.12,1.0549,2576.6,0.2393,0.9709,0
CELL_088,1,2018,2,2018-01-08,0,0,0,7.522,-1.449,15.887,0.841,2494.9,0.2393,0.9709,0
CELL_089,1,2018,2,2018-01-08,0,0,0,6.552,-1.1456,15.661,0.5957,1573.9,0.2393,0.9709,0
CELL_090,1,2018,2,2018-01-08,0,0,0,4.445,-0.5832,15.211,-0.3029,1097.9,0.2393,0.9709,0
CELL_091,1,2018,2,2018-01-08,0,0,0,1.086,0.8235,14.553,0.6335,3671.1,0.2393,0.9709,0
CELL_092,1,2018,2,2018-01-08,0,0,0,4.697,-0.9025,14.179,0.0488,3681.3,0.2393,0.9709,0
CELL_093,1,2018,2,2018-01-08,0,0,0,2.917,-0.2452,15.256,0.8186,2825.9,0.2393,0.9709,0
CELL_094,1,2018,2,2018-01-08,0,0,0,2.915,0.1679,14.369,0.2429,1884.9,0.2393,0.9709,0
CELL_095,1,2018,2,2018-01-08,0,0,0,2.468,0.3826,15.788,0.5338,1917.5,0.2393,0.9709,0
CELL_096,1,2018,2,2018-01-08,0,0,0,5.74,-1.2115,16.527,0.6062,3123.1,0.2393,0.9709,0
CELL_097,1,2018,2,2018-01-08,0,0,0,3.39,-0.6369,15.871,0.568,3670.8,0.2393,0.9709,0
CELL_098,1,2018,2,2018-01-08,0,0,0,3.35,-0.4406,14.906,-0.1577,3638.7,0.2393,0.9709,0
CELL_099,1,2018,2,2018-01-08,0,0,0,2.285,0.3391,14.882,0.1844,3295.6,0.2393,0.9709,0
CELL_000,2,2018,3,2018-01-15,1,0,0,30.461,-9.1893,17.126,0.276,424.7,0.3546,0.935,0
CELL_001,2,2018,3,2018-01-15,1,0,0,15.433,-4.3068,17.844,0.019,770.4,0.3546,0.935,0
CELL_002,2,2018,3,2018-01-15,1,0,0,20.308,-5.7397,16.459,0.5201,639.2,0.3546,0.935,0
CELL_003,2,2018,3,2018-01-15,1,0,0,37.551,-11.26,16.01,1.0947,559.2,0.3546,0.935,0
CELL_004,2,2018,3,2018-01-15,1,0,0,29.046,-8.1142,15.032,0.5686,293.6,0.3546,0.935,0
CELL_005,2,2018,3,2018-01-15,1,0,0,13.623,-3.3827,17.439,1.4516,293.6,0.3546,0.935,0
CELL_006,2,2018,3,2018-01-15,1,0,0,18.675,-5.2915,17.43,0.4232,234.9,0.3546,0.935,0
CELL_007,2,2018,3,2018-01-15,1,0,0,30.424,-9.4948,15.316,0.2881,719.7,0.3546,0.935,0
CELL_008,2,2018,3,2018-01-15,1,0,0,15.195,-4.3163,15.512,0.7297,560.7,0.3546,0.935,0
CELL_009,2,2018,3,2018-01-15,1,0,0,19.682,-5.4582,16.794,-0.3841,624.8,0.3546,0.935,0
CELL_010,2,2018,3,2018-01-15,1,0,0,31.174,-9.2645,15.16,1.449,212.4,0.3546,0.935,0
CELL_011,2,2018,3,2018-01-15,1,0,0,30.887,-9.5912,16.083,0.8919,781.9,0.3546,0.935,0
CELL_012,2,2018,3,2018-01-15,1,0,0,32.377,-10.0313,15.391,0.6974,699.5,0.3546,0.935,0
CELL_013,2,2018,3,2018-01-15,1,0,0,20.384,-5.3987,15.405,0.245,327.4,0.3546,0.935,0
CELL_014,2,2018,3,2018-01-15,1,0,0,34.987,-10.9831,16.615,0.0666,309.1,0.3546,0.935,0
CELL_015,2,2018,3,2018-01-15,1,0,0,23.357,-6.314,16.241,1.7724,310.0,0.3546,0.935,0
CELL_016,2,2018,3,2018-01-15,1,0,0,23.519,-6.8347,15.88,0.6795,382.5,0.3546,0.935,0
CELL_017,2,2018,3,2018-01-15,1,0,0,35.079,-11.4714,16.893,0.2198,514.9,0.3546,0.935,0
CELL_018,2,2018,3,2018-01-15,1,0,0,27.568,-8.8611,16.534,0.0611,459.2,0.3546,0.935,0
CELL_019,2,2018,3,2018-01-15,1,0,0,37.008,-11.6525,18.122,0.6097,374.7,0.3546,0.935,0
CELL_020,2,2018,3,2018-01-15,1,0,0,31.604,-9.496,16.049,1.0723,567.1,0.3546,0.935,0
CELL_021,2,2018,3,2018-01-15,1,0,0,29.742,-8.925,16.385,0.2787,283.7,0.3546,0.935,0
CELL_022,2,2018,3,2018-01-15,1,0,0,16.992,-4.741,15.523,0.881,375.3,0.3546,0.935,0
CELL_023,2,2018,3,2018-01-15,1,0,0,24.249,-6.9188,16.12,1.1557,419.8,0.3546,0.935,0
CELL_024,2,2018,3,2018-01-15,1,0,0,21.58,-5.8834,16.782,1.3079,473.6,0.3546,0.935,0
CELL_025,2,2018,3,2018-01-15,1,0,0,21.12,-6.2518,15.078,0.0802,671.1,0.3546,0.935,0
CELL_026,2,2018,3,2018-01-15,1,0,0,38.106,-11.9301,15.978,0.6411,319.8,0.3546,0.935,0
